resource,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock
google_bigquery_bi_reservation,0,0,0,1,1
google_bigquery_capacity_commitment,2,0,0,1,0
google_bigquery_connection,0,0,0,1,14
google_bigquery_connection_iam_binding,0,0,1,0,2
google_bigquery_connection_iam_member,1,0,0,0,1
google_bigquery_connection_iam_policy,1,0,0,0,0
google_bigquery_data_transfer_config,0,0,0,3,5
google_bigquery_datapolicy_data_policy,3,0,0,1,1
google_bigquery_datapolicy_data_policy_iam_binding,0,0,1,0,2
google_bigquery_datapolicy_data_policy_iam_member,1,0,0,0,1
google_bigquery_datapolicy_data_policy_iam_policy,1,0,0,0,0
google_bigquery_datapolicyv2_data_policy,2,0,0,1,2
google_bigquery_datapolicyv2_data_policy_iam_binding,0,0,1,0,2
google_bigquery_datapolicyv2_data_policy_iam_member,1,0,0,0,1
google_bigquery_datapolicyv2_data_policy_iam_policy,1,0,0,0,0
google_bigquery_dataset,1,0,1,2,24
google_bigquery_dataset_access,6,0,0,1,8
google_bigquery_dataset_iam_binding,0,0,1,0,2
google_bigquery_dataset_iam_member,1,0,0,0,1
google_bigquery_dataset_iam_policy,1,0,0,0,0
google_bigquery_job,18,0,0,2,52
google_bigquery_reservation,0,0,0,1,4
google_bigquery_reservation_assignment,2,0,0,1,0
google_bigquery_routine,4,0,0,1,16
google_bigquery_row_access_policy,0,0,0,1,1
google_bigquery_table,10,0,0,3,66
google_bigquery_table_iam_binding,0,0,1,0,2
google_bigquery_table_iam_member,1,0,0,0,1
google_bigquery_table_iam_policy,1,0,0,0,0
google_bigtable_app_profile,1,0,0,1,4
google_bigtable_authorized_view,2,0,0,1,11
google_bigtable_gc_policy,3,0,0,1,2
google_bigtable_instance,0,0,0,4,6
google_bigtable_instance_iam_binding,0,0,1,0,2
google_bigtable_instance_iam_member,1,0,0,0,1
google_bigtable_instance_iam_policy,1,0,0,0,0
google_bigtable_logical_view,1,0,0,1,0
google_bigtable_materialized_view,1,0,0,1,0
google_bigtable_schema_bundle,2,0,0,1,1
google_bigtable_table,4,0,1,2,4
google_bigtable_table_iam_binding,0,0,1,0,2
google_bigtable_table_iam_member,1,0,0,0,1
google_bigtable_table_iam_policy,1,0,0,0,0
google_billing_account_iam_binding,0,0,1,0,2
google_billing_account_iam_member,1,0,0,0,1
google_billing_account_iam_policy,1,0,0,0,0
google_billing_budget,2,0,4,0,28
google_billing_project_info,0,0,0,1,0
google_billing_subaccount,1,0,0,0,0
google_binary_authorization_attestor,6,0,0,1,6
google_binary_authorization_attestor_iam_binding,0,0,1,0,2
google_binary_authorization_attestor_iam_member,1,0,0,0,1
google_binary_authorization_attestor_iam_policy,1,0,0,0,0
google_binary_authorization_policy,4,0,5,1,7
google_blockchain_node_engine_blockchain_nodes,0,0,0,2,16
google_certificate_manager_certificate,5,0,0,2,14
google_certificate_manager_certificate_issuance_config,3,0,0,2,6
google_certificate_manager_certificate_map,0,0,0,2,9
google_certificate_manager_certificate_map_entry,2,0,0,2,4
google_certificate_manager_dns_authorization,0,0,0,2,4
google_certificate_manager_trust_config,0,0,0,2,9
google_ces_app,18,0,0,1,51
google_ces_toolset,0,0,0,1,26
google_chronicle_data_access_label,0,0,0,1,0
google_chronicle_data_access_scope,0,0,0,1,6
google_chronicle_reference_list,3,0,0,1,8
google_chronicle_retrohunt,0,0,0,1,2
google_chronicle_rule,1,0,0,1,8
google_chronicle_rule_deployment,1,0,0,1,2
google_chronicle_watchlist,0,0,0,1,5
