group,resource_count,with_hits,coverage_percent,total_score,total_nested_weight,total_non_nested_weight,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock
IAM,414,411,99.3,479.50,0.00,479.50,274,0,137,0,420
nonIAM,819,713,87.1,10595.30,5948.00,4647.30,1635,124,450,1022,18413
