product,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock,TotalScore,TotalNestedWeight,TotalNonNestedWeight,ResourceCount,AverageScore,PercentIAM
firebasehosting,3,0,0,3,55,19.75,10.00,9.75,5,3.95,0.0
firebasestorage,0,0,0,1,0,2.25,0.00,2.25,1,2.25,0.0
firestore,2,0,0,6,17,21.90,6.00,15.90,6,3.65,0.0
gemini,2,0,1,24,43,105.50,48.00,57.50,15,7.03,20.0
gkebackup,4,0,2,8,115,41.00,16.00,25.00,10,4.10,60.0
gkehub,5,0,1,2,10,15.60,4.00,11.60,4,3.90,75.0
gkehub2,7,0,2,12,163,119.40,82.00,37.40,13,9.18,46.2
gkeonprem,4,0,0,12,435,245.80,214.00,31.80,6,40.97,0.0
healthcare,17,0,5,7,83,73.25,32.00,41.25,22,3.33,68.2
iam2,0,0,0,0,27,0.00,0.00,0.00,2,0.00,0.0
iam3,0,0,0,5,20,21.25,10.00,11.25,4,5.31,0.0
iambeta,4,0,1,4,29,16.50,2.00,14.50,7,2.36,42.9
iamworkforcepool,2,0,1,2,39,12.00,4.00,8.00,9,1.33,33.3
iap,26,0,13,2,81,50.00,0.00,50.00,43,1.16,90.7
identityplatform,0,0,0,8,63,42.00,24.00,18.00,8,5.25,0.0
integrationconnectors,0,0,0,6,119,37.50,24.00,13.50,3,12.50,0.0
integrations,2,0,0,2,47,6.90,0.00,6.90,2,3.45,0.0
kms,10,0,3,5,49,48.55,22.00,26.55,20,2.43,45.0
logging,22,0,1,2,29,42.70,12.00,30.70,21,2.03,14.3
looker,0,0,0,1,22,4.25,2.00,2.25,1,4.25,0.0
lustre,0,0,0,2,3,8.50,4.00,4.50,1,8.50,0.0
managedkafka,14,0,0,7,39,42.15,10.00,32.15,5,8.43,0.0
memcache,0,0,1,2,17,15.70,10.00,5.70,1,15.70,0.0
memorystore,0,0,2,3,68,74.95,66.00,8.95,2,37.48,0.0
migrationcenter,0,0,0,3,25,10.75,4.00,6.75,2,5.38,0.0
mlengine,0,0,0,2,5,8.50,4.00,4.50,1,8.50,0.0
modelarmor,0,0,0,2,24,8.50,4.00,4.50,1,8.50,0.0
modelarmorglobal,0,0,0,0,23,0.00,0.00,0.00,1,0.00,0.0
monitoring,23,0,19,10,198,74.70,10.00,64.70,10,7.47,0.0
netapp,5,0,0,22,80,116.90,62.00,54.90,11,10.63,0.0
networkconnectivity,13,0,0,10,58,71.90,34.00,37.90,5,14.38,0.0
networkconnectivityv1,1,0,0,4,28,28.20,18.00,10.20,2,14.10,0.0
networkmanagement,0,0,0,5,20,23.25,12.00,11.25,3,7.75,0.0
networksecurity,10,0,1,39,296,215.85,116.00,99.85,27,7.99,11.1
networkservices,22,0,0,33,462,172.25,74.00,98.25,17,10.13,0.0
notebooks,16,1,2,5,79,110.85,78.00,32.85,9,12.32,66.7
observability,0,0,0,1,1,2.25,0.00,2.25,1,2.25,0.0
oracledatabase,0,0,0,12,111,151.00,124.00,27.00,6,25.17,0.0
orgpolicy,20,0,0,0,36,20.40,0.00,20.40,2,10.20,0.0
osconfig,3,0,0,3,503,66.25,56.00,10.25,3,22.08,0.0
osconfigv2,0,0,0,4,1233,71.00,62.00,9.00,3,23.67,0.0
oslogin,0,0,0,0,0,0.00,0.00,0.00,1,0.00,0.0
parallelstore,0,0,0,2,4,10.50,6.00,4.50,1,10.50,0.0
parametermanager,1,0,0,2,4,11.70,6.00,5.70,2,5.85,0.0
parametermanagerregional,1,0,0,2,4,11.70,6.00,5.70,2,5.85,0.0
privateca,14,60,2,9,561,397.25,300.00,97.25,10,39.73,60.0
privilegedaccessmanager,0,0,15,0,53,15.70,0.00,15.70,2,7.85,0.0
publicca,0,0,0,1,0,2.25,0.00,2.25,1,2.25,0.0
pubsub,17,0,5,5,63,48.35,12.00,36.35,12,4.03,75.0
pubsublite,6,0,0,3,6,13.55,0.00,13.55,3,4.52,0.0
redis,2,0,2,6,73,83.90,66.00,17.90,3,27.97,0.0
resourcemanager,14,2,22,7,69,62.65,6.00,56.65,31,2.02,48.4
resourcemanager3,0,0,0,0,0,0.00,0.00,0.00,1,0.00,0.0
runtimeconfig,2,0,1,2,3,8.00,0.00,8.00,5,1.60,60.0
saasruntime,0,0,0,18,59,96.50,56.00,40.50,6,16.08,0.0
secretmanager,3,0,1,4,27,19.70,6.00,13.70,5,3.94,60.0
