resource,score,nested_weight,non_nested_weight,tier,LikelyBreaking,provenance,product,is_iam,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock,Required,Optional,Optional+Computed,Computed-only
google_apigee_envgroup,0.00,0.00,0.00,D,true,Generated,apigee,false,0,0,0,0,1,0,1,0,0
google_apigee_envgroup_attachment,0.00,0.00,0.00,D,false,Generated,apigee,false,0,0,0,0,0,0,0,0,0
google_apigee_environment,2.00,2.00,0.00,A,true,Generated,apigee,false,0,0,0,0,7,0,6,1,0
google_apigee_environment_addons_config,0.00,0.00,0.00,D,false,Generated,apigee,false,0,0,0,0,0,0,0,0,0
google_apigee_environment_api_revision_deployment,2.00,2.00,0.00,D,false,Generated,apigee,false,0,0,0,0,1,0,0,0,1
google_apigee_environment_iam_binding,1.10,0.00,1.10,D,true,Generated,apigee,true,0,0,1,0,2,2,1,0,0
google_apigee_environment_iam_member,1.20,0.00,1.20,D,true,Generated,apigee,true,1,0,0,0,1,1,1,0,0
google_apigee_environment_iam_policy,1.20,0.00,1.20,D,false,Generated,apigee,true,1,0,0,0,0,1,0,0,0
google_apigee_environment_keyvaluemaps,0.00,0.00,0.00,D,false,Generated,apigee,false,0,0,0,0,0,0,0,0,0
google_apigee_environment_keyvaluemaps_entries,0.00,0.00,0.00,D,false,Generated,apigee,false,0,0,0,0,0,0,0,0,0
google_apigee_flowhook,0.00,0.00,0.00,D,false,Handwritten,apigee,false,0,0,0,0,0,0,0,0,0
google_apigee_instance,3.10,2.00,1.10,C,true,Generated,apigee,false,1,0,0,0,2,0,1,2,0
google_apigee_instance_attachment,0.00,0.00,0.00,D,false,Generated,apigee,false,0,0,0,0,0,0,0,0,0
google_apigee_keystores_aliases_pkcs12,12.00,12.00,0.00,B,false,Handwritten,apigee,false,0,0,0,0,6,0,0,0,6
google_apigee_keystores_aliases_self_signed_cert,12.00,12.00,0.00,B,true,Generated,apigee,false,0,0,0,0,8,1,1,0,6
google_apigee_nat_address,0.00,0.00,0.00,D,false,Generated,apigee,false,0,0,0,0,0,0,0,0,0
google_apigee_organization,2.00,2.00,0.00,D,true,Generated,apigee,false,0,0,0,0,3,0,2,1,0
google_apigee_security_action,0.00,0.00,0.00,A,true,Generated,apigee,false,0,0,0,0,29,1,28,0,0
google_apigee_security_monitoring_condition,0.00,0.00,0.00,D,true,Generated,apigee,false,0,0,0,0,1,0,1,0,0
google_apigee_security_profile_v2,0.00,0.00,0.00,D,true,Generated,apigee,false,0,0,0,0,1,1,0,0,0
google_apigee_sharedflow,11.75,4.00,7.75,B,false,Handwritten,apigee,false,1,0,0,3,2,0,4,0,2
google_apigee_sharedflow_deployment,0.00,0.00,0.00,D,false,Handwritten,apigee,false,0,0,0,0,0,0,0,0,0
google_apigee_sync_authorization,0.00,0.00,0.00,D,true,Generated,apigee,false,0,0,0,0,1,1,0,0,0
google_apigee_target_server,0.00,0.00,0.00,A,true,Generated,apigee,false,0,0,0,0,7,0,7,0,0
google_apihub_api_hub_instance,8.50,4.00,4.50,B,true,Generated,apihub,false,0,0,0,2,4,1,3,0,2
google_apihub_curation,4.25,2.00,2.25,C,true,Generated,apihub,false,0,0,0,1,4,3,1,0,1
google_apihub_host_project_registration,3.45,0.00,3.45,C,false,Generated,apihub,false,1,0,0,1,0,1,1,0,0
google_apihub_plugin,4.25,2.00,2.25,A,true,Generated,apihub,false,0,0,0,1,20,3,17,1,0
google_apihub_plugin_instance,18.25,16.00,2.25,A,true,Generated,apihub,false,0,0,0,1,29,9,13,3,5
google_app_engine_application,10.50,6.00,4.50,B,true,Handwritten,appengine,false,0,0,0,2,3,0,2,2,1
google_app_engine_application_url_dispatch_rules,2.25,0.00,2.25,C,true,Generated,appengine,false,0,0,0,1,1,1,1,0,0
google_app_engine_domain_mapping,6.25,4.00,2.25,C,true,Generated,appengine,false,0,0,0,1,2,0,1,1,1
google_app_engine_firewall_rule,2.25,0.00,2.25,C,false,Generated,appengine,false,0,0,0,1,0,0,1,0,0
google_app_engine_flexible_app_version,10.45,6.00,4.45,A,true,Generated,appengine,false,1,0,1,1,43,5,38,3,0
google_app_engine_service_network_settings,2.25,0.00,2.25,C,true,Generated,appengine,false,0,0,0,1,1,1,1,0,0
