resource,Required,Optional,Optional+Computed,Computed-only
google_bigquery_datapolicy_data_policy_iam_policy,1,0,0,0
google_bigquery_datapolicyv2_data_policy,0,4,1,0
google_bigquery_datapolicyv2_data_policy_iam_binding,2,1,0,0
google_bigquery_datapolicyv2_data_policy_iam_member,1,1,0,0
google_bigquery_datapolicyv2_data_policy_iam_policy,1,0,0,0
google_bigquery_dataset,6,18,2,2
google_bigquery_dataset_access,4,11,0,0
google_bigquery_dataset_iam_binding,2,1,0,0
google_bigquery_dataset_iam_member,1,1,0,0
google_bigquery_dataset_iam_policy,1,0,0,0
google_bigquery_job,26,37,2,7
google_bigquery_reservation,0,2,0,3
google_bigquery_reservation_assignment,2,1,0,0
google_bigquery_routine,0,9,12,0
google_bigquery_row_access_policy,0,2,0,0
google_bigquery_table,15,58,4,2
google_bigquery_table_iam_binding,2,1,0,0
google_bigquery_table_iam_member,1,1,0,0
google_bigquery_table_iam_policy,1,0,0,0
google_bigtable_app_profile,0,5,1,0
google_bigtable_authorized_view,2,12,0,0
google_bigtable_gc_policy,1,5,0,0
google_bigtable_instance,0,7,1,2
google_bigtable_instance_iam_binding,2,1,0,0
google_bigtable_instance_iam_member,1,1,0,0
google_bigtable_instance_iam_policy,1,0,0,0
google_bigtable_logical_view,0,2,0,0
google_bigtable_materialized_view,0,2,0,0
google_bigtable_schema_bundle,1,3,0,0
google_bigtable_table,1,8,2,0
google_bigtable_table_iam_binding,2,1,0,0
google_bigtable_table_iam_member,1,1,0,0
google_bigtable_table_iam_policy,1,0,0,0
google_billing_account_iam_binding,2,1,0,0
google_billing_account_iam_member,1,1,0,0
google_billing_account_iam_policy,1,0,0,0
google_billing_budget,4,25,5,0
google_billing_project_info,0,1,0,0
google_billing_subaccount,1,0,0,0
google_binary_authorization_attestor,3,10,0,0
google_binary_authorization_attestor_iam_binding,2,1,0,0
google_binary_authorization_attestor_iam_member,1,1,0,0
google_binary_authorization_attestor_iam_policy,1,0,0,0
google_binary_authorization_policy,1,16,0,0
google_blockchain_node_engine_blockchain_nodes,0,11,0,7
google_certificate_manager_certificate,0,14,0,7
google_certificate_manager_certificate_issuance_config,4,5,0,2
google_certificate_manager_certificate_map,0,8,0,3
google_certificate_manager_certificate_map_entry,3,3,0,2
google_certificate_manager_dns_authorization,0,3,0,3
google_certificate_manager_trust_config,0,9,0,2
google_ces_app,2,66,0,2
google_ces_toolset,3,24,0,0
google_chronicle_data_access_label,0,1,0,0
google_chronicle_data_access_scope,0,7,0,0
google_chronicle_reference_list,1,10,0,1
google_chronicle_retrohunt,1,1,0,1
google_chronicle_rule,0,4,0,6
google_chronicle_rule_deployment,0,2,0,2
google_chronicle_watchlist,1,1,3,1
google_cloud_asset_folder_feed,3,3,0,0
google_cloud_asset_organization_feed,3,3,0,0
google_cloud_asset_project_feed,3,4,0,0
google_cloud_identity_group,2,0,0,1
google_cloud_identity_group_membership,2,2,2,0
google_cloud_ids_endpoint,0,2,0,0
google_cloud_quotas_quota_adjuster_settings,0,0,0,0
google_cloud_quotas_quota_preference,3,2,2,0
google_cloud_run_domain_mapping,3,10,1,9
google_cloud_run_service,6,134,38,11
google_cloud_run_service_iam_binding,2,1,0,0
google_cloud_run_service_iam_member,1,1,0,0
google_cloud_run_service_iam_policy,1,0,0,0
google_cloud_run_v2_job,4,119,16,6
google_cloud_run_v2_job_iam_binding,2,1,0,0
google_cloud_run_v2_job_iam_member,1,1,0,0
google_cloud_run_v2_job_iam_policy,1,0,0,0
google_cloud_run_v2_service,2,127,16,10
google_cloud_run_v2_service_iam_binding,2,1,0,0
google_cloud_run_v2_service_iam_member,1,1,0,0
google_cloud_run_v2_service_iam_policy,1,0,0,0
google_cloud_run_v2_worker_pool,2,121,9,6
google_cloud_run_v2_worker_pool_iam_binding,2,1,0,0
google_cloud_run_v2_worker_pool_iam_member,1,1,0,0
google_cloud_run_v2_worker_pool_iam_policy,1,0,0,0
google_cloud_scheduler_job,2,24,0,0
google_cloud_tasks_queue,3,18,8,0
google_cloud_tasks_queue_iam_binding,2,1,0,0
google_cloud_tasks_queue_iam_member,1,1,0,0
google_cloud_tasks_queue_iam_policy,1,0,0,0
google_cloudbuild_bitbucket_server_config,1,2,0,0
google_cloudbuild_trigger,5,114,1,4
google_cloudbuildv2_connection,45,23,0,2
google_cloudbuildv2_connection_iam_binding,2,1,0,0
google_cloudbuildv2_connection_iam_member,1,1,0,0
google_cloudbuildv2_connection_iam_policy,1,0,0,0
google_cloudbuildv2_repository,1,3,0,1
google_clouddeploy_automation,4,33,3,3
google_clouddeploy_custom_target_type,0,20,0,3
google_clouddeploy_custom_target_type_iam_binding,2,1,0,0
google_clouddeploy_custom_target_type_iam_member,1,1,0,0
google_clouddeploy_custom_target_type_iam_policy,1,0,0,0
google_clouddeploy_delivery_pipeline_iam_binding,2,1,0,0
google_clouddeploy_delivery_pipeline_iam_member,1,1,0,0
google_clouddeploy_delivery_pipeline_iam_policy,1,0,0,0
google_clouddeploy_deploy_policy,22,43,6,3
google_clouddeploy_target_iam_binding,2,1,0,0
google_clouddeploy_target_iam_member,1,1,0,0
google_clouddeploy_target_iam_policy,1,0,0,0
google_clouddomains_registration,20,43,1,4
google_cloudfunctions2_function,0,27,11,2
google_cloudfunctions2_function_iam_binding,2,1,0,0
google_cloudfunctions2_function_iam_member,1,1,0,0
google_cloudfunctions2_function_iam_policy,1,0,0,0
google_cloudfunctions_function,2,10,4,2
google_cloudfunctions_function_iam_binding,2,1,0,0
google_cloudfunctions_function_iam_member,1,1,0,0
google_cloudfunctions_function_iam_policy,1,0,0,0
google_colab_notebook_execution,2,4,0,0
google_colab_runtime,2,2,0,0
google_colab_runtime_template,0,8,16,2
google_colab_runtime_template_iam_binding,2,1,0,0
google_colab_runtime_template_iam_member,1,1,0,0
google_colab_runtime_template_iam_policy,1,0,0,0
google_colab_schedule,7,7,0,0
google_composer_environment,2,43,76,2
google_composer_user_workloads_config_map,0,2,0,0
google_composer_user_workloads_secret,0,2,0,0
google_compute_address,0,5,2,3
google_compute_attached_disk,2,2,0,0
google_compute_autoscaler,2,16,5,0
google_compute_backend_bucket,0,18,1,0
google_compute_backend_bucket_iam_binding,2,1,0,0
google_compute_backend_bucket_iam_member,1,1,0,0
google_compute_backend_bucket_iam_policy,1,0,0,0
google_compute_backend_bucket_signed_url_key,1,1,0,0
google_compute_backend_service,2,84,3,0
google_compute_backend_service_iam_binding,2,1,0,0
google_compute_backend_service_iam_member,1,1,0,0
google_compute_backend_service_iam_policy,1,0,0,0
google_compute_backend_service_signed_url_key,1,1,0,0
google_compute_cross_site_network,0,1,0,0
google_compute_disk,0,26,4,3
google_compute_disk_async_replication,4,0,0,0
google_compute_disk_iam_binding,2,1,0,0
google_compute_disk_iam_member,1,1,0,0
google_compute_disk_iam_policy,1,0,0,0
google_compute_disk_resource_policy_attachment,1,2,1,0
google_compute_external_vpn_gateway,0,4,0,2
google_compute_firewall,5,27,2,0
google_compute_firewall_policy,1,1,0,0
google_compute_firewall_policy_association,2,1,0,0
google_compute_firewall_policy_rule,4,37,0,0
google_compute_firewall_policy_with_rules,6,46,0,49
google_compute_forwarding_rule,0,10,7,2
google_compute_future_reservation,3,79,0,1
google_compute_global_address,0,6,0,2
google_compute_global_forwarding_rule,3,6,5,2
google_compute_global_network_endpoint,1,1,0,0
google_compute_global_network_endpoint_group,0,1,0,0
google_compute_ha_vpn_gateway,1,5,2,2
google_compute_health_check,0,17,1,0
google_compute_http_health_check,0,1,0,0
google_compute_https_health_check,0,1,0,0
google_compute_image,12,29,4,2
google_compute_image_iam_binding,2,1,0,0
google_compute_image_iam_member,1,1,0,0
google_compute_image_iam_policy,1,0,0,0
google_compute_instance,23,59,50,2
google_compute_instance_from_machine_image,0,0,0,0
google_compute_instance_from_template,0,0,0,0
google_compute_instance_group,0,3,3,0
google_compute_instance_group_manager,5,27,5,10
google_compute_instance_group_membership,2,2,0,0
google_compute_instance_group_named_port,1,2,1,0
google_compute_instance_iam_binding,2,1,0,0
google_compute_instance_iam_member,1,1,0,0
google_compute_instance_iam_policy,1,0,0,0
google_compute_instance_settings,1,4,0,0
google_compute_instance_template,19,62,12,4
google_compute_instance_template_iam_binding,2,1,0,0
google_compute_instance_template_iam_member,1,1,0,0
google_compute_instance_template_iam_policy,1,0,0,0
google_compute_instant_snapshot,1,3,1,2
google_compute_instant_snapshot_iam_binding,2,1,0,0
google_compute_instant_snapshot_iam_member,1,1,0,0
google_compute_instant_snapshot_iam_policy,1,0,0,0
google_compute_interconnect,4,15,0,11
google_compute_interconnect_attachment,1,6,1,3
google_compute_interconnect_attachment_group,1,2,0,43
google_compute_interconnect_group,1,2,0,37
google_compute_machine_image,1,4,0,1
google_compute_machine_image_iam_binding,2,1,0,0
google_compute_machine_image_iam_member,1,1,0,0
google_compute_machine_image_iam_policy,1,0,0,0
google_compute_managed_ssl_certificate,4,2,0,1
google_compute_network,0,5,0,0
google_compute_network_attachment,1,3,1,1
google_compute_network_edge_security_service,0,2,0,0
google_compute_network_endpoint,1,3,1,0
google_compute_network_endpoint_group,1,3,1,0
google_compute_network_endpoints,1,5,1,0
google_compute_network_firewall_policy,0,1,0,0
google_compute_network_firewall_policy_association,2,1,0,0
google_compute_network_firewall_policy_packet_mirroring_rule,4,9,0,0
google_compute_network_firewall_policy_rule,4,36,0,0
google_compute_network_firewall_policy_with_rules,6,45,0,47
google_compute_network_peering,2,0,0,0
google_compute_network_peering_routes_config,1,1,0,0
google_compute_node_group,1,4,3,0
google_compute_node_template,0,5,2,0
google_compute_organization_security_policy,0,0,0,0
google_compute_organization_security_policy_association,0,0,0,0
google_compute_organization_security_policy_rule,6,12,0,0
google_compute_packet_mirroring,13,16,0,0
google_compute_per_instance_config,1,25,1,0
google_compute_preview_feature,0,4,0,0
google_compute_project_cloud_armor_tier,0,1,0,0
google_compute_project_default_network_tier,0,1,0,0
google_compute_project_metadata,1,1,0,0
google_compute_project_metadata_item,0,1,0,0
google_compute_public_advertised_prefix,0,1,0,0
google_compute_public_delegated_prefix,1,1,0,1
google_compute_region_autoscaler,2,18,3,0
google_compute_region_backend_service,2,67,6,0
google_compute_region_backend_service_iam_binding,2,1,0,0
google_compute_region_backend_service_iam_member,1,1,0,0
google_compute_region_backend_service_iam_policy,1,0,0,0
google_compute_region_commitment,0,3,1,0
google_compute_region_disk,1,13,3,3
google_compute_region_disk_iam_binding,2,1,0,0
google_compute_region_disk_iam_member,1,1,0,0
google_compute_region_disk_iam_policy,1,0,0,0
google_compute_region_disk_resource_policy_attachment,1,1,1,0
google_compute_region_health_check,0,16,2,0
google_compute_region_instance_group_manager,8,28,7,10
google_compute_region_instance_template,19,61,12,4
google_compute_region_network_endpoint,1,3,1,0
google_compute_region_network_endpoint_group,1,6,2,0
google_compute_region_network_firewall_policy,0,1,0,0
google_compute_region_network_firewall_policy_association,2,1,0,0
google_compute_region_network_firewall_policy_rule,4,36,0,0
google_compute_region_network_firewall_policy_with_rules,6,45,0,47
google_compute_region_per_instance_config,1,25,1,0
google_compute_region_resize_request,1,2,1,107
google_compute_region_security_policy,6,88,3,0
google_compute_region_security_policy_rule,0,54,0,0
google_compute_region_ssl_certificate,1,1,1,0
google_compute_region_ssl_policy,0,4,1,2
google_compute_region_target_http_proxy,1,1,1,0
google_compute_region_target_https_proxy,1,6,1,0
google_compute_region_target_tcp_proxy,1,1,1,0
google_compute_region_url_map,47,464,7,0
google_compute_reservation,2,12,4,0
google_compute_resize_request,1,2,1,107
google_compute_resource_policy,14,33,1,0
google_compute_resource_policy_attachment,1,2,1,0
google_compute_route,1,10,0,6
google_compute_router,0,13,1,0
google_compute_router_interface,0,5,0,0
google_compute_router_nat,9,39,7,0
google_compute_router_nat_address,4,3,1,0
google_compute_router_peer,1,8,4,0
google_compute_router_route_policy,4,3,1,0
google_compute_security_policy,19,78,4,2
google_compute_security_policy_rule,3,50,0,0
google_compute_service_attachment,2,9,1,2
google_compute_shared_vpc_host_project,0,0,0,0
google_compute_shared_vpc_service_project,0,1,0,0
google_compute_snapshot,1,5,2,3
google_compute_snapshot_iam_binding,2,1,0,0
google_compute_snapshot_iam_member,1,1,0,0
google_compute_snapshot_iam_policy,1,0,0,0
google_compute_snapshot_settings,1,3,0,0
google_compute_ssl_certificate,1,1,0,0
google_compute_ssl_policy,0,4,0,2
google_compute_storage_pool,1,3,1,4
google_compute_storage_pool_iam_binding,2,1,0,0
google_compute_storage_pool_iam_member,1,1,0,0
google_compute_storage_pool_iam_policy,1,0,0,0
google_compute_subnetwork,1,15,2,0
google_compute_subnetwork_iam_binding,2,1,0,0
google_compute_subnetwork_iam_member,1,1,0,0
google_compute_subnetwork_iam_policy,1,0,0,0
google_compute_target_grpc_proxy,0,2,0,0
google_compute_target_http_proxy,1,1,0,0
google_compute_target_https_proxy,1,6,0,0
google_compute_target_instance,1,1,1,0
google_compute_target_pool,0,3,2,0
google_compute_target_ssl_proxy,1,3,0,0
google_compute_target_tcp_proxy,1,1,0,0
google_compute_url_map,48,521,18,0
google_compute_vpn_gateway,1,1,1,0
google_compute_vpn_tunnel,0,55,5,2
google_compute_wire_group,1,9,0,8
google_contact_center_insights_analysis_rule,0,17,0,0
google_contact_center_insights_view,0,1,0,0
google_container_analysis_note,3,4,0,0
google_container_analysis_note_iam_binding,2,1,0,0
google_container_analysis_note_iam_member,1,1,0,0
google_container_analysis_note_iam_policy,1,0,0,0
google_container_analysis_occurrence,3,1,0,0
google_container_attached_cluster,2,20,3,3
google_container_cluster,58,188,187,8
google_container_node_pool,23,88,52,4
google_container_registry,0,2,0,0
google_data_catalog_entry,2,2,0,8
google_data_catalog_entry_group,0,2,0,0
google_data_catalog_entry_group_iam_binding,2,1,0,0
google_data_catalog_entry_group_iam_member,1,1,0,0
google_data_catalog_entry_group_iam_policy,1,0,0,0
google_data_catalog_policy_tag,0,0,0,1
google_data_catalog_policy_tag_iam_binding,2,1,0,0
google_data_catalog_policy_tag_iam_member,1,1,0,0
google_data_catalog_policy_tag_iam_policy,1,0,0,0
google_data_catalog_tag,1,0,0,0
google_data_catalog_tag_template,7,5,0,0
google_data_catalog_tag_template_iam_binding,2,1,0,0
google_data_catalog_tag_template_iam_member,1,1,0,0
google_data_catalog_tag_template_iam_policy,1,0,0,0
google_data_catalog_taxonomy,0,2,0,0
google_data_catalog_taxonomy_iam_binding,2,1,0,0
google_data_catalog_taxonomy_iam_member,1,1,0,0
google_data_catalog_taxonomy_iam_policy,1,0,0,0
