product,resource,score,nested_weight,non_nested_weight,tier,LikelyBreaking,provenance,is_iam
firebaseapphosting,google_firebase_app_hosting_domain,76.25,74.00,2.25,A,true,Generated,false
firebasedatabase,google_firebase_database_instance,2.25,0.00,2.25,C,false,Generated,false
firebasedataconnect,google_firebase_data_connect_service,12.75,6.00,6.75,B,true,Generated,false
firebaseextensions,google_firebase_extensions_instance,10.25,8.00,2.25,A,true,Generated,false
firebasehosting,google_firebase_hosting_custom_domain,10.25,6.00,4.25,A,true,Generated,false
firebasestorage,google_firebase_storage_bucket,2.25,0.00,2.25,C,false,Generated,false
firestore,google_firestore_database,6.25,4.00,2.25,C,true,Generated,false
gemini,google_gemini_logging_setting,8.50,4.00,4.50,B,true,Generated,false
gkebackup,google_gke_backup_restore_plan,8.50,4.00,4.50,A,true,Generated,false
gkehub,google_gke_hub_membership,12.10,4.00,8.10,A,true,Generated,false
gkehub2,google_gke_hub_feature,59.50,54.00,5.50,A,true,Generated,false
gkeonprem,google_gkeonprem_bare_metal_cluster,63.70,58.00,5.70,A,true,Generated,false
healthcare,google_healthcare_hl7_v2_store,11.45,6.00,5.45,B,true,Generated,false
iam2,google_iam_deny_policy,0.00,0.00,0.00,A,true,Generated,false
iam3,google_iam_projects_policy_binding,6.50,2.00,4.50,C,true,Generated,false
iambeta,google_iam_workload_identity_pool_namespace,4.25,2.00,2.25,C,false,Generated,false
iamworkforcepool,google_iam_workforce_pool_provider,4.00,4.00,0.00,A,true,Generated,false
iap,google_iap_brand,2.25,0.00,2.25,C,false,Generated,false
identityplatform,google_identity_platform_config,18.25,16.00,2.25,A,true,Generated,false
integrationconnectors,google_integration_connectors_connection,20.50,16.00,4.50,A,true,Generated,false
integrations,google_integrations_auth_config,4.65,0.00,4.65,A,true,Generated,false
kms,google_kms_crypto_key,13.45,10.00,3.45,A,true,Generated,false
logging,google_logging_project_sink,7.65,2.00,5.65,C,true,Handwritten,false
looker,google_looker_instance,4.25,2.00,2.25,A,true,Generated,false
lustre,google_lustre_instance,8.50,4.00,4.50,B,true,Generated,false
managedkafka,google_managed_kafka_cluster,22.10,6.00,16.10,A,true,Generated,false
memcache,google_memcache_instance,15.70,10.00,5.70,A,true,Generated,false
memorystore,google_memorystore_instance,72.70,66.00,6.70,A,true,Generated,false
migrationcenter,google_migration_center_group,8.50,4.00,4.50,B,true,Generated,false
mlengine,google_ml_engine_model,8.50,4.00,4.50,B,true,Generated,false
modelarmor,google_model_armor_template,8.50,4.00,4.50,A,true,Generated,false
modelarmorglobal,google_model_armor_floorsetting,0.00,0.00,0.00,A,true,Generated,false
monitoring,google_monitoring_slo,20.25,0.00,20.25,A,true,Generated,false
netapp,google_netapp_volume,18.70,12.00,6.70,A,true,Generated,false
networkconnectivity,google_network_connectivity_spoke,26.40,10.00,16.40,A,true,Generated,false
networkconnectivityv1,google_network_connectivity_service_connection_policy,16.50,12.00,4.50,A,true,Generated,false
networkmanagement,google_network_management_connectivity_test,8.50,4.00,4.50,A,true,Generated,false
networksecurity,google_network_security_intercept_endpoint_group,16.50,12.00,4.50,A,true,Generated,false
networkservices,google_network_services_edge_cache_service,16.50,8.00,8.50,A,true,Generated,false
notebooks,google_notebooks_runtime,77.00,68.00,9.00,A,true,Generated,false
observability,google_observability_trace_scope,2.25,0.00,2.25,C,true,Generated,false
oracledatabase,google_oracle_database_autonomous_database,64.50,60.00,4.50,A,true,Generated,false
orgpolicy,google_org_policy_policy,20.40,0.00,20.40,A,true,Generated,false
osconfig,google_os_config_guest_policies,58.25,56.00,2.25,A,true,Generated,false
osconfigv2,google_os_config_v2_policy_orchestrator_for_folder,44.25,42.00,2.25,A,true,Generated,false
oslogin,google_os_login_ssh_public_key,0.00,0.00,0.00,D,false,Generated,false
parallelstore,google_parallelstore_instance,10.50,6.00,4.50,B,true,Generated,false
parametermanager,google_parameter_manager_parameter,10.50,6.00,4.50,B,true,Generated,false
parametermanagerregional,google_parameter_manager_regional_parameter,10.50,6.00,4.50,B,true,Generated,false
privateca,google_privateca_certificate,281.50,276.00,5.50,A,true,Generated,false
privilegedaccessmanager,google_privileged_access_manager_entitlement,15.70,0.00,15.70,A,true,Generated,false
publicca,google_public_ca_external_account_key,2.25,0.00,2.25,C,false,Generated,false
pubsub,google_pubsub_subscription,20.50,6.00,14.50,A,true,Generated,false
pubsublite,google_pubsub_lite_topic,5.45,0.00,5.45,A,true,Generated,false
redis,google_redis_cluster,60.70,54.00,6.70,A,true,Generated,false
resourcemanager,google_project,7.25,4.00,3.25,C,true,Handwritten,false
resourcemanager3,google_resource_manager_capability,0.00,0.00,0.00,D,false,Generated,false
runtimeconfig,google_runtimeconfig_variable,2.25,0.00,2.25,C,false,Handwritten,false
saasruntime,google_saas_runtime_unit,28.75,22.00,6.75,A,true,Generated,false
secretmanager,google_secret_manager_secret,15.00,6.00,9.00,A,true,Generated,false
secretmanagerregional,google_secret_manager_regional_secret,12.75,6.00,6.75,A,true,Generated,false
securesourcemanager,google_secure_source_manager_instance,10.50,6.00,4.50,B,true,Generated,false
securitycenter,google_scc_project_custom_module,2.25,0.00,2.25,A,true,Generated,false
securitycentermanagement,google_scc_management_project_security_health_analytics_custom_module,2.25,0.00,2.25,A,true,Generated,false
securitycenterv2,google_scc_v2_project_notification_config,2.25,0.00,2.25,C,true,Generated,false
securityposture,google_securityposture_posture,2.25,0.00,2.25,A,true,Generated,false
securityscanner,google_security_scanner_scan_config,2.25,0.00,2.25,A,true,Generated,false
servicedirectory,google_service_directory_namespace,8.50,4.00,4.50,B,true,Generated,false
servicemanagement,google_endpoints_service,10.25,8.00,2.25,B,false,Handwritten,false
servicenetworking,google_service_networking_peered_dns_domain,2.25,0.00,2.25,C,false,Handwritten,false
serviceusage,google_service_usage_consumer_quota_override,2.25,0.00,2.25,C,true,Generated,false
siteverification,google_site_verification_web_resource,2.00,2.00,0.00,D,true,Generated,false
sourcerepo,google_sourcerepo_repository,3.25,0.00,3.25,C,true,Generated,false
spanner,google_spanner_instance,9.70,4.00,5.70,A,true,Generated,false
sql,google_sql_database_instance,102.50,54.00,48.50,A,true,Handwritten,false
storage,google_storage_bucket,27.10,10.00,17.10,A,true,Handwritten,false
storagebatchoperations,google_storage_batch_operations_job,2.25,0.00,2.25,A,true,Generated,false
storagecontrol,google_storage_control_project_intelligence_config,13.00,4.00,9.00,A,true,Generated,false
storageinsights,google_storage_insights_dataset_config,4.25,2.00,2.25,A,true,Generated,false
storagetransfer,google_storage_transfer_job,5.25,0.00,5.25,A,true,Handwritten,false
tags,google_tags_tag_value_iam_policy,1.20,0.00,1.20,D,false,Generated,true
tpuv2,google_tpu_v2_vm,30.95,22.00,8.95,A,true,Generated,false
transcoder,google_transcoder_job,150.50,146.00,4.50,A,true,Generated,false
vertexai,google_vertex_ai_endpoint,35.60,30.00,5.60,A,true,Generated,false
vmwareengine,google_vmwareengine_private_cloud,9.25,6.00,3.25,A,true,Generated,false
vpcaccess,google_vpc_access_connector,9.85,2.00,7.85,B,true,Generated,false
workbench,google_workbench_instance,85.95,58.00,27.95,A,true,Generated,false
workflows,google_workflows_workflow,9.60,4.00,5.60,B,true,Generated,false
workstations,google_workstations_workstation_config,60.75,54.00,6.75,A,true,Generated,false
